Type,Budget,Bill,Status,Description
Maintenance,State Board of Education,-,,2/13 - 5% base reduction (Governor's 3% + JFAC's 2%)
Maintenance,Public Schools,-,,2/13 - 5% base reduction (Governor's 3% + JFAC's 2%)
Maintenance,Public Safety,-,,2/13 - 5% base reduction (Governor's 3% + JFAC's 2%)
Maintenance,Natural Resources,-,,2/13 - 5% base reduction (Governor's 3% + JFAC's 2%)
Maintenance,Legislative Branch,-,,2/13 - 5% base reduction (Governor's 3% + JFAC's 2%)
Maintenance,Judicial Branch,-,,2/13 - 5% base reduction (Governor's 3% + JFAC's 2%)
Maintenance,Health & Human Services,-,,2/13 - 5% base reduction (Governor's 3% + JFAC's 2%)
Maintenance,General Government,-,,2/13 - 5% base reduction (Governor's 3% + JFAC's 2%)
Maintenance,Economic Development,-,,2/13 - 5% base reduction (Governor's 3% + JFAC's 2%)
Maintenance,Constitutional Officers,-,,2/13 - 5% base reduction (Governor's 3% + JFAC's 2%)
Enhancement,State Board of Education - Agricultural Research and Extension Service,-,,
Enhancement,State Board of Education - Career Technical Education,-,,
Enhancement,State Board of Education - Charter School Commission,-,,
Enhancement,State Board of Education - College and Universities,-,,
Enhancement,State Board of Education - Community Colleges,-,,
Enhancement,State Board of Education - Department of Education,-,,
Enhancement,State Board of Education - Health Education Programs,-,,
Enhancement,State Board of Education - Idaho Public Television,-,,
Enhancement,State Board of Education - Office of the State Board of Education,-,,
Enhancement,State Board of Education - Special Programs,-,,
Enhancement,State Board of Education - Vocational Rehabilitation,-,,
Enhancement,Public Schools - Administrators,-,,
Enhancement,Public Schools - Central Services,-,,
Enhancement,Public Schools - Children's Programs,-,,
Enhancement,Public Schools - Educational Services for the Deaf and the Blind,-,,
Enhancement,Public Schools - Facilities,-,,
Enhancement,Public Schools - Idaho Digital Learning Academy,-,,
Enhancement,Public Schools - Operations,-,,
Enhancement,Public Schools - Student Support,-,,
Enhancement,Public Schools - Teachers,-,,
Enhancement,Public Safety - Idaho State Police - Brand Inspecton,-,,
Enhancement,Public Safety - Idaho State Police - Division of Idaho State Police,-,,
Enhancement,Public Safety - Idaho State Police - POST Academy,-,,
Enhancement,Public Safety - Idaho State Police - Racing Commission,-,,
Enhancement,Public Safety - Department of Juvenile Corrections,-,,
Enhancement,Public Safety - Department of Correction - Community Corrections,-,,
Enhancement,Public Safety - Department of Correction - Community-Based SUDS Treatment,-,,
Enhancement,Public Safety - Department of Correction - County and Out-of-State Placement,-,,
Enhancement,Public Safety - Department of Correction - Management Services,-,,
Enhancement,Public Safety - Department of Correction - Medical Services,-,,
Enhancement,Public Safety - Department of Correction - State Prisons,-,,
Enhancement,Natural Resources - Department of Water Resources,-,,
Enhancement,Natural Resources - Department of Parks and Recreation,-,,
Enhancement,Natural Resources - Department of Fish and Game,-,,
Enhancement,Natural Resources - Department of Environmental Quality,-,,
Enhancement,Natural Resources - Land Board - Department of Lands,-,,
Enhancement,Natural Resources - Land Board - Endowment Fund Investment Board,-,,
Enhancement,Legislative Branch - Legislative Services Office,-,,
Enhancement,Legislative Branch - Legislative Technology,-,,
Enhancement,Legislative Branch - Legislature,-,,
Enhancement,Legislative Branch - Office of Performance Evaluations,-,,
Enhancement,Judicial Branch - Court Operations,-,,
Enhancement,Judicial Branch - Guardian Ad Litem Program,-,,
Enhancement,Judicial Branch - Judicial Council,-,,
Enhancement,Health & Human Services - State Independent Living Council,-,,
Enhancement,Health & Human Services - Department of Health and Welfare - Child Welfare,-,,
Enhancement,Health & Human Services - Department of Health and Welfare - Division of Medicaid,-,,
Enhancement,Health & Human Services - Department of Health and Welfare - Division of Welfare,-,,
Enhancement,Health & Human Services - Department of Health and Welfare - Independent Councils,-,,
Enhancement,Health & Human Services - Department of Health and Welfare - Indirect Support Services,-,,
Enhancement,Health & Human Services - Department of Health and Welfare - Licensing and Certification,-,,
Enhancement,Health & Human Services - Department of Health and Welfare - Mental Health Services,-,,
Enhancement,Health & Human Services - Department of Health and Welfare - Psychiatric Hospitalization,-,,
Enhancement,Health & Human Services - Department of Health and Welfare - Public Health Services,-,,
Enhancement,Health & Human Services - Department of Health and Welfare - Service Integration,-,,
Enhancement,Health & Human Services - Department of Health and Welfare - Services for the Developmentally Disabled,-,,
Enhancement,Health & Human Services - Department of Health and Welfare - Substance Abuse Treatment and Prevention,-,,
Enhancement,General Government - Office of the Governor - Commission for the Blind and Visually Impaired,-,,
Enhancement,General Government - Office of the Governor - Commission on Aging,-,,
Enhancement,General Government - Office of the Governor - Commission on the Arts,-,,
Enhancement,General Government - Office of the Governor - Division of Financial Management,-,,
Enhancement,General Government - Office of the Governor - Division of Human Resources,-,,
Enhancement,General Government - Office of the Governor - Military Division,-,,
Enhancement,General Government - Office of the Governor - Office of Drug Policy,-,,
Enhancement,General Government - Office of the Governor - Office of Energy and Mineral Resources,-,,
Enhancement,General Government - Office of the Governor - Office of Information Technology Services,-,,
Enhancement,General Government - Office of the Governor - Office of Species Conservation,-,,
Enhancement,General Government - Office of the Governor - Public Employee Retirement System,-,,
Enhancement,General Government - Office of the Governor - State Liquor Division,-,,
Enhancement,General Government - Office of the Governor - STEM Action Center,-,,
Enhancement,General Government - Office of the Governor - Wolf Depredation Control Board,-,,
Enhancement,General Government - Office of the Governor - Workforce Development Council,-,,
Enhancement,General Government - Department of Revenue and Taxation - Board of Tax Appeals,-,,
Enhancement,General Government - Department of Revenue and Taxation - State Tax Commission,-,,
Enhancement,General Government - Department of Administration - Capitol Commission,-,,
Enhancement,General Government - Department of Administration,-,,
Enhancement,General Government - Department of Administration - Permanent Building Fund,-,,
Enhancement,Economic Development - Public Utilities Commission,-,,
Enhancement,Economic Development - Industrial Commission,-,,
Enhancement,Economic Development - Department of Transportation - Contract Construction and Right-of-Way Acquisition,-,,
Enhancement,Economic Development - Department of Transportation - Highway Operations,-,,
Enhancement,Economic Development - Department of Transportation - Motor Vehicles,-,,
Enhancement,Economic Development - Department of Transportation - Transportation Services,-,,
Enhancement,Economic Development - Department of Self-Governing Agencies - Commission for Libraries,-,,
Enhancement,Economic Development - Department of Self-Governing Agencies - Commission of Pardons and Parole,-,,
Enhancement,Economic Development - Department of Self-Governing Agencies - Commission on Hispanic Affairs,-,,
Enhancement,Economic Development - Department of Self-Governing Agencies - Division of Occupational and Professional Licenses,-,,
Enhancement,Economic Development - Department of Self-Governing Agencies - Division of Veterans Services,-,,
Enhancement,Economic Development - Department of Self-Governing Agencies - Office of Administrative Hearings,-,,
Enhancement,Economic Development - Department of Self-Governing Agencies - Office of Health and Social Services Ombudsman,-,,
Enhancement,Economic Development - Department of Self-Governing Agencies - Office of the State Public Defender,-,,
Enhancement,Economic Development - Department of Self-Governing Agencies - Public Defense Commission,-,,
Enhancement,Economic Development - Department of Self-Governing Agencies - State Appellate Public Defender,-,,
Enhancement,Economic Development - Department of Self-Governing Agencies - State Historical Society,-,,
Enhancement,Economic Development - Department of Self-Governing Agencies - State Lottery,-,,
Enhancement,Economic Development - Department of Labor,-,,
Enhancement,Economic Development - Department of Insurance,-,,
Enhancement,Economic Development - Department of Finance,-,,
Enhancement,Economic Development - Department of Commerce,-,,
Enhancement,Economic Development - Department of Agriculture,-,,
Enhancement,Economic Development - Department of Agriculture - Soil and Water Conservation Commission,-,,
Enhancement,Constitutional Officers - State Treasurer - Millennium Fund,-,,
Enhancement,Constitutional Officers - State Treasurer,-,,
Enhancement,Constitutional Officers - State Controller,-,,
Enhancement,Constitutional Officers - Secretary of State,-,,
Enhancement,Constitutional Officers - Lieutenant Governor,-,,
Enhancement,Constitutional Officers - Governor,-,,
Enhancement,Constitutional Officers - Attorney General,-,,
